model	target	n_sources	pvalue	weights	z_w_summary	nsnp_median	w_NorthMacedonia_IA	se_NorthMacedonia_IA	w_Bulgaria_IA	se_Bulgaria_IA	w_Albania_BA_IA	se_Albania_BA_IA	w_Aegean_BA_IA	se_Aegean_BA_IA	w_Croatia_IA	se_Croatia_IA	w_CroatiaSerbia_RomanLocal	se_CroatiaSerbia_RomanLocal	w_CroatiaSerbia_RomanAnatolian	se_CroatiaSerbia_RomanAnatolian	w_CEE_EarlyMedieval	se_CEE_EarlyMedieval
1src:NorthMacedonia_IA	Bulgarian	1	0.6687871253877575	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Romanian	1	0.24636957808881893	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Albanian	1	0.9711731726631664	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Croatian	1	0.6065424975093949	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Greek	1	0.91524254375621	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Greek_WGA	1	0.9212178930306004	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Cypriot	1	0.6665778231885519	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Bosnian_Serb	1	0.23964390555991136	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Serbian_Serb	1	0.4042183743077406	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Gagauz	1	0.5491023081540053	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:NorthMacedonia_IA	Italian_North	1	0.4247950038007257	NorthMacedonia_IA=1.000(0.000)	NorthMacedonia_IA |z|=9699205656546.6	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Bulgarian	1	1.3238877175605226e-9	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Romanian	1	3.03415317498591e-10	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Albanian	1	5.7191431599408736e-8	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Croatian	1	2.3241216495615973e-8	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Greek	1	4.485166396191096e-15	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Greek_WGA	1	1.2137863277447202e-9	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Cypriot	1	1.3132270619962462e-10	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Bosnian_Serb	1	8.10883499653743e-10	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Serbian_Serb	1	4.702489895695862e-12	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Gagauz	1	1.1230845165038355e-7	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Bulgaria_IA	Italian_North	1	2.794110726356636e-15	Bulgaria_IA=1.000(0.000)	Bulgaria_IA |z|=9699205656546.6	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Bulgarian	1	1.4528581488369306e-29	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Romanian	1	4.7936186011737465e-21	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Albanian	1	5.120879208016443e-21	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Croatian	1	5.685834096028729e-22	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Greek	1	1.1525537607511774e-24	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Greek_WGA	1	7.548068147497663e-24	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Cypriot	1	3.424104655152833e-21	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Bosnian_Serb	1	3.415792848809723e-17	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Serbian_Serb	1	7.761644599089083e-32	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Gagauz	1	3.476412906001722e-26	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Albania_BA_IA	Italian_North	1	1.4998104916050487e-27	Albania_BA_IA=1.000(0.000)	Albania_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Bulgarian	1	8.551240761001041e-16	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Romanian	1	7.596869621910661e-9	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Albanian	1	5.265911079150852e-10	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Croatian	1	5.888199255747883e-10	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Greek	1	2.6874684718324463e-15	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Greek_WGA	1	3.78554732468388e-20	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Cypriot	1	3.7801913332682246e-10	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Bosnian_Serb	1	3.8581180128404834e-14	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Serbian_Serb	1	3.7967216423255934e-9	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Gagauz	1	1.1378449554790585e-19	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Aegean_BA_IA	Italian_North	1	1.636771698059822e-26	Aegean_BA_IA=1.000(0.000)	Aegean_BA_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Bulgarian	1	3.1919993545420375e-8	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Romanian	1	4.017905940237319e-7	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Albanian	1	4.427042303491233e-8	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Croatian	1	5.2247510195817495e-5	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Greek	1	1.4714876936501037e-7	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Greek_WGA	1	1.7486410586894134e-6	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Cypriot	1	1.1257684143771563e-6	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Bosnian_Serb	1	3.1415331070455207e-5	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Serbian_Serb	1	1.1590574479834933e-6	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Gagauz	1	4.363421472051044e-5	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:Croatia_IA	Italian_North	1	3.3452664098348765e-08	Croatia_IA=1.000(0.000)	Croatia_IA |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Bulgarian	1	0.00220120255848968	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Romanian	1	0.00499605795599995	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Albanian	1	0.04007887182699127	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Croatian	1	0.00163120562862023	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Greek	1	0.04005057250149366	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Greek_WGA	1	0.00943602704948296	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Cypriot	1	0.00981355878018485	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Bosnian_Serb	1	0.04262631408843742	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Serbian_Serb	1	0.01206584494186876	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Gagauz	1	0.6716100050888316	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanLocal	Italian_North	1	7.996300554267768e-5	CroatiaSerbia_RomanLocal=1.000(0.000)	CroatiaSerbia_RomanLocal |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Bulgarian	1	0.00106142726326397	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Romanian	1	0.00181297348092732	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Albanian	1	0.1308936465398349	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Croatian	1	6.220730991543205e-4	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Greek	1	0.03960717881580358	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Greek_WGA	1	0.05072709307737659	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Cypriot	1	0.04022650379138851	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Bosnian_Serb	1	0.01259600385608623	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Serbian_Serb	1	9.03587541256321e-5	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
